# licences.tab -- WHAT EACH SHIPPED COMPONENT IS DISTRIBUTED UNDER, and what
#	         that obliges this project to do about it.
#
# A LICENCE OBLIGATION ATTACHES TO WHAT IS HANDED OVER, not to what the tree
# holds.  This tree holds material under twenty-odd sets of terms, and which of
# them anybody actually receives is decided by dist/lists/*.list: games/ttycity
# is GPLv3-plus-additional-terms and is built by nothing and staged by nothing,
# so it obliges us to nothing; net/screen is GPLv1 and ships setuid in `net', so
# it obliges us to source.  So this is a register of WHAT WE SHIP, keyed on the
# component, and it sits beside the lists that decide it.
#
#	dist/licences.tab		this file: the recorded judgement
#	dist/licences.py		collects the texts beside the release
#	dist/pack-component.sh		cuts the packages they travel with
#	LICENSE				the repository's own statement
#
# NOTHING HERE IS LEGAL ADVICE, and nothing here was decided by guessing.  Where
# a question could not be settled by reading the notices in the tree, the column
# says `?': a RECORDED judgement, "unsettled, and treated conservatively until a
# human settles it", which travels into the package as it stands.
#
# FORMAT.  Whitespace columns, `#' to end of line is a comment, two record
# kinds, so awk and sh can read this and no second parser is needed:
#
#   lic  <id> <src> <notice> <ship> <text> <marker> <what...>
#
#	<id>	 the licence regime, and the name of the collected text file
#	<src>	 must the corresponding source be shipped or offered?
#		 y | n | ?   `?' is treated as `y': the component must publish a
#		             -src package that cuts clean, and the question stays
#		             open.
#	<notice> must the notice travel with the BINARIES?
#		 y | n | ?   `?' is treated as `y'.
#	<ship>	 is our redistribution settled under these terms at all?
#		 y | ?       `?' is reported every run and never goes green
#		             silently.  It is not treated as `n', because the
#		             material is on an image today and pretending
#		             otherwise would be the more dishonest of the two.
#	<text>	 the licence text, a path relative to os/ resolved on
#		 $C900_OSPATH exactly as the source map's paths are, so the
#		 words that travel are the producer's own file and not a
#		 transcription of it.  `LICENSE' with no slash means THIS
#		 repository's own LICENSE, which every package already carries.
#		 `-' means no text was found -- which is itself a finding, and
#		 is only allowed where <ship> is `?'.
#	<marker> a regexp the text must contain, `.' standing for a space.  The
#		 path alone is not enough: os/-relative paths resolve against
#		 the first root of $C900_OSPATH that has them, three repositories
#		 have a LICENSE, and a gate that only checked existence would
#		 happily pack the wrong one.
#
#   use  <component> <id> [<why...>]
#
#	one component under one regime.  A component is a lists/*.list with a
#	`package' line (PACKAGE-FORMAT, LIST PACKAGES); the gate refuses one
#	with no row at all, and refuses a row naming a component that is not one.
#
# HOW THE ROWS WERE ARRIVED AT, so a reader can redo it rather than trust it:
# `component.py component <c> bin' names the files the component installs and
# `component.py component <c> src' names the sources they are cut from, and every
# row below is a regime one of those two sets touches.  Where the -src set
# reaches material the -bin set does not, the `why' says so -- that is the
# source map's object-search over-reach (PACKAGE-FORMAT, THE SOURCE MAP), it
# makes a -src package carry MORE than it owes, and it is recorded rather than
# trimmed because trimming a source package to a guess is the failure this
# whole mechanism exists to avoid.

# ---- THE REGIMES ----------------------------------------------------------

# The backbone.  Robert Swartz released the Mark Williams COHERENT source in
# 2015 under BSD 3-Clause; its second condition is why `notice' is `y' for
# nearly every component here -- a binary redistribution must reproduce the
# notice "in the documentation and/or other materials provided with the
# distribution", and the licences collected beside the release are those
# materials.  The
# per-file "may not be copied without permission" headers predate the release
# and are kept as found; they do not narrow it.
lic mwc-bsd3       n y y LICENSE                        Swartz          MWC COHERENT, BSD-3-Clause (Swartz, 2015)

# This repository's own new work, under the MIT licence its LICENSE states for
# code written for this project: the ZView window server, its driver, its
# desktop applications, the Vellum drawing suite, and the distribution's own
# scripts and /etc files, which are the whole of what login-text and
# login-graphical install.  MIT obliges no source and does oblige the notice --
# "the above copyright notice and this permission notice shall be included in
# all copies" -- which every package carries as its own LICENSE.
lic mit-oc         n y y LICENSE                        MIT.License     this repository's own work (ZView, Vellum, the distribution's /etc files), MIT

# GPL.  THE VERSION IS NOT BOILERPLATE AND WAS CHECKED PER TREE.  All three
# oblige source; two of them are version ONE, which is not what this project
# said about them until the files themselves were read.
lic gpl2-gzip      y y y tools/gzip/COPYING               Version.2       gzip, GPL v2 or later
lic gpl1-rcs       y y y tools/rcs/COPYING                Version.1       RCS 4.3, GPL v1 or later (19 files say "either version 1"; "version 2" is nowhere in the directory)
lic gpl1-screen    y y y net/screen/COPYING             Version.1       GNU screen, GPL v1 or later -- COPYING is the v1 text and all 11 sources say "either version 1"; the GPLv2 this project previously recorded was wrong

# Bellcore's grant for MGR.  It obliges no source and it does oblige the notice:
# "the copyright notice must be reproduced on copies".  That sentence is the
# reason the collected texts sit beside the binaries and not only in the source,
# where mgr/COPYRIGHT already travels with the code.
lic bellcore-mgr   n y y mgr/COPYRIGHT                  Bellcore        MGR, Bellcore 1988: not for sale for profit, notice must be reproduced on copies, credit to Bellcore

# Berkeley, in its three materially different forms.  They are separate rows
# because they are separate obligations, not separate years.
lic ucb-bsd3       n y y games/bsd/COPYING              Regents         Regents of the University of California, 3-clause
lic ucb-adv        n y y base/lib/libcurses/curses.h               Berkeley        Regents, with the ACKNOWLEDGEMENT requirement: documentation, advertising and other materials must acknowledge Berkeley
lic ucb-bsd4       n y y net/include/net/gen/netdb.h    advertising     Regents, 4-clause: all advertising materials must display the acknowledgement

# Everything else that ships, each with its own text.
lic minix-ph       n y y net/inet/COPYING               Prentice        Minix 2.0.4 TCP/IP stack; Prentice Hall BSD-3-form at the top of the donor tree, per-file Homburg authorship lines
lic tetris         n y y games/bsd/tetris/COPYRIGHT     monetary        tetris: no fee or other monetary gain, and the statement of authorship must be reproduced on all copies
lic atc-james      n y y games/bsd/atc/def.h            Ed.James        atc, Ed James / UC Berkeley 1987
lic ckermit        n y y comms/ckermit/COPYING          Columbia        C-Kermit, Trustees of Columbia University: not sold for profit, notice retained
lic zoo            n y y archive/zoo/COPYING            Dhesi           zoo 2.1, Dhesi 1991: copying for any purpose, commercial or not, notices preserved
lic lharc          n y y archive/lharc/COPYING          FREEWARE        C-LHarc, Tagawa: "This is FREEWARE"
lic zmodem         n y y comms/zmodem/COPYING           Satchell        rz/sz: Satchell's and Brown's grants; Forsberg's public-domain statement cited second-hand
lic less           n y y tools/less/version.c             Nudelman        less: free use and modification, notice intact, not sold for profit without the author's consent
lic patch          n y y tools/patch/patch.c              Larry.Wall      patch, Wall 1986: copy freely, do not make money off it, do not claim authorship
lic elvis          n y y base/cmd/elvis/COPYING              redistributable elvis 1.4, Kirkendall: freely redistributable in source or executable form, no restrictions stated
